X	Y
532	48.151
533	48.211
534	48.289
535	48.386
536	48.418
537	48.490
538	48.562
539	48.744
540	48.807
541	48.920
542	48.991
543	48.949
544	49.078
545	49.225
546	49.321
547	49.375
548	49.504
549	49.690
550	49.789
551	49.912
552	50.022
553	50.038
554	50.220
555	50.284
556	50.398
557	50.443
558	50.528
559	50.597
560	50.777
561	50.787
562	50.807
563	50.952
564	50.958
565	50.990
566	51.101
567	51.182
568	51.123
569	51.071
570	51.153
571	51.265
572	51.247
573	51.279
574	51.221
575	51.274
576	51.427
577	51.316
578	51.287
579	51.411
580	51.430
581	51.379
582	51.293
583	51.395
584	51.418
585	51.361
586	51.468
587	51.487
588	51.386
589	51.377
590	51.566
591	51.547
592	51.513
593	51.494
594	51.604
595	51.501
596	51.544
597	51.493
598	51.495
599	51.448
600	51.451
601	51.503
602	51.455
603	51.522
604	51.549
605	51.481
606	51.453
607	51.450
608	51.479
609	51.379
610	51.408
611	51.466
612	51.378
613	51.337
614	51.202
615	51.166
616	51.130
617	51.095
618	51.103
619	51.068
620	50.991
621	50.980
622	50.814
623	50.718
624	50.677
625	50.656
626	50.530
627	50.406
628	50.303
629	50.164
630	50.103
631	49.954
632	49.909
633	49.724
634	49.619
635	49.580
636	49.408
637	49.336
638	49.183
639	49.040
640	49.032
641	48.955
642	48.711
643	48.828
644	48.622
645	48.584
646	48.481
647	48.511
648	48.386
649	48.317
650	48.397
651	48.264
652	48.240
653	48.173
654	48.126
655	48.120
656	47.995
657	48.037
658	48.069
659	48.017
660	48.017
661	47.960
662	47.927
663	48.007
664	47.906
665	47.908
666	47.929
667	47.958
668	47.985
669	47.971
670	48.006
671	48.000
672	47.996
673	48.120
674	48.110
675	48.178
676	48.359
677	48.235
678	48.352
679	48.648
680	48.722
681	48.966
682	49.155
683	49.508
684	49.917
685	50.405
686	51.014
687	51.700
688	52.567
689	53.466
690	54.546
691	55.974
692	57.350
693	58.968
694	61.018
695	63.081
696	65.218
697	67.621
698	70.287
699	73.171
700	75.994
701	78.966
702	81.986
703	85.119
704	88.138
705	91.099
706	93.827
707	96.728
708	99.459
709	101.815
710	104.005
711	106.108
712	108.057
713	109.641
714	111.340
715	112.753
716	113.843
717	114.931
718	115.950
719	116.666
720	117.280
721	117.813
722	118.229
723	119.040
724	119.215
725	119.456
726	119.755
727	120.100
728	120.524
729	120.843
730	120.928
731	121.289
732	121.648
733	121.966
734	122.093
735	122.227
736	122.155
737	122.690
738	122.713
739	122.946
740	123.026
741	123.236
742	123.340
743	123.462
744	123.434
745	123.621
746	123.693
747	124.001
748	123.865
749	123.870
750	123.983
751	124.261
752	124.409
753	124.437
754	124.446
755	124.430
756	124.414
757	124.474
758	124.661
759	124.717
760	124.422
761	124.388
762	124.464
763	124.433
764	124.310
765	124.315
766	124.113
767	123.773
768	123.561
769	123.296
770	122.926
771	122.508
772	121.972
773	121.296
774	120.465
775	119.428
776	118.231
777	116.770
778	115.263
779	113.693
780	111.414
781	109.281
782	106.542
783	103.951
784	100.953
785	97.989
786	94.668
787	91.616
788	88.474
789	85.066
790	81.761
791	78.859
792	75.937
793	73.160
794	70.697
795	68.443
796	66.383
797	64.358
798	62.829
799	61.450
800	60.226
801	58.935
802	58.089
803	57.193
804	56.554
805	55.875
806	55.269
807	54.782
808	54.250
809	53.842
810	53.485
811	53.023
812	52.698
813	52.280
814	52.051
815	51.795
816	51.520
817	51.188
818	51.057
819	50.826
820	50.550
821	50.290
822	50.174
823	49.957
824	49.920
825	49.678
826	49.559
827	49.330
828	49.240
829	49.141
830	49.072
831	48.902
832	48.920
833	48.701
834	48.561
835	48.552
836	48.517
837	48.363
838	48.430
839	48.464
840	48.574
841	48.909
842	49.543
843	50.476
844	51.522
845	52.977
846	54.746
847	56.636
848	58.964
849	61.821
850	65.060
851	68.652
852	72.851
853	77.617
854	83.222
855	89.629
856	96.413
857	103.382
858	110.976
859	118.194
860	125.443
861	132.721
862	139.698
863	146.526
864	153.088
865	158.900
866	164.639
867	169.423
868	173.855
869	176.640
870	179.480
871	181.937
872	183.734
873	185.466
874	186.513
875	187.916
876	188.883
877	190.193
878	191.097
879	191.582
880	192.272
881	193.182
882	193.702
883	194.213
884	194.635
885	194.869
886	195.395
887	196.002
888	196.502
889	196.636
890	196.995
891	197.934
892	198.145
893	198.390
894	198.858
895	198.915
896	199.073
897	199.400
898	199.373
899	199.577
900	200.305
901	200.188
902	200.385
903	200.693
904	200.740
905	200.817
906	200.651
907	201.048
908	201.631
909	201.331
910	201.343
911	201.716
912	201.540
913	201.811
914	201.739
915	202.059
916	201.850
917	201.809
918	201.961
919	201.809
920	202.248
921	202.365
922	202.091
923	202.103
924	202.148
925	202.225
926	202.061
927	202.037
928	201.965
929	201.361
930	200.790
931	199.847
932	198.432
933	196.274
934	193.787
935	190.754
936	186.640
937	181.970
938	175.810
939	168.835
940	160.916
941	152.503
942	144.193
943	135.649
944	127.202
945	119.070
946	111.014
947	103.612
948	96.204
949	89.477
950	83.691
951	79.096
952	75.247
953	72.129
954	69.718
955	67.543
956	65.688
957	64.223
958	62.633
959	61.510
960	60.328
961	59.310
962	58.450
963	57.621
964	56.718
965	55.966
966	55.338
967	54.567
968	53.946
969	53.196
970	52.626
971	52.213
972	51.657
973	51.197
974	50.719
975	50.300
976	49.913
977	49.581
978	49.262
979	48.825
980	48.675
981	48.237
982	47.958
983	47.827
984	47.531
985	47.284
986	47.059
987	46.913
988	46.659
989	46.495
990	46.490
991	46.389
992	46.380
993	46.344
994	46.481
995	46.583
996	46.818
997	47.049
998	47.404
999	47.925
1000	48.602
1001	49.291
1002	50.190
1003	51.378
1004	52.600
1005	53.941
1006	55.682
1007	57.417
1008	59.495
1009	61.823
1010	64.209
1011	66.966
1012	69.527
1013	72.540
1014	75.353
1015	78.215
1016	81.259
1017	84.067
1018	86.874
1019	89.775
1020	92.487
1021	94.750
1022	97.079
1023	99.270
1024	101.176
1025	102.864
1026	104.252
1027	105.706
1028	106.903
1029	107.936
1030	108.995
1031	109.863
1032	110.432
1033	111.352
1034	111.820
1035	112.401
1036	112.800
1037	113.087
1038	113.394
1039	113.935
1040	114.264
